Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
233	Satin Trans-Bright Green	7fe15b	Satin	11	17	165	13	2021	2025
229	Satin Trans-Brown	939484	Satin	7	12	148	12	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	23	98	221	27	2020	2025
232	Satin Trans-Dark Blue	1552e2	Satin	16	37	163	19	2021	2025
224	Satin Trans-Dark Pink	CE1d9b	Satin	17	50	137	17	2020	2025
223	Satin Trans-Light Blue	68BCC5	Satin	53	137	257	61	2020	2025
230	Satin Trans-Purple	8320B7	Satin	19	54	167	19	2020	2025
170	Satin Trans-Yellow	EBF72D	Satin	3	6	28	4	2024	2025
250	Metallic Copper	C58259	Metallic	6	14	343	9	2007	2012
65	Metallic Gold	B8860B	Metallic	119	350	1486	211	1997	2025
70	Metallic Green	bdb573	Metallic	31	10	516	37	2001	2005
67	Metallic Silver	C0C0C0	Metallic	209	793	2501	278	1957	2025
46	Glow In Dark Opaque	d4d5c9	Milky	89	89	562	102	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	17	23	420	19	2005	2011
159	Glow In Dark White	d9d9d9	Milky	85	108	839	97	2011	2025
60	Milky White	d4d3dd	Milky	26	146	735	68	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	33	203	21	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	40	175	16	1999	2024
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	29	204	30	2015	2024
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	172	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	141	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	16	66	223	18	2000	2024
116	Speckle Black-Copper	5F4E47	Speckle	5	3	245	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	276	5	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	341	18	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	271	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	8		
128	Mx Black	000000	Modulex			312	212		
132	Mx Brown	907450	Modulex			32	22		
133	Mx Buff	DEC69C	Modulex			41	33		
126	Mx Charcoal Gray	595D60	Modulex			16	3		
149	Mx Clear	FFFFFF	Modulex			52	32		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
